WorkOrderID,EquipmentID,EquipmentName,MaintenanceDate,MaintenanceType,FailureMode,RootCause,ActionTaken,SparePartsUsed,Technician,Downtime_Hours,Cost_INR,Priority,Status,Comments
WO-00126,PU001,Centrifugal Pump,2023-01-23,Emergency,Low Flow Rate,Impeller Damage,Replace Impeller,Impeller 250mm,Kiran,6,328150,Critical,In Progress,Job closed as per standard checklist
WO-00127,BF001,Bag Filter,2024-12-08,Routine,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Anil,16,69473,Low,Completed,Job closed as per standard checklist
WO-00128,PU001,Centrifugal Pump,2024-11-06,Routine,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Suresh,31,424174,Low,Deferred,Job closed as per standard checklist
WO-00129,JC001,Jaw Crusher,2024-03-06,Emergency,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Rahul,40,439114,Low,Pending,Job closed as per standard checklist
WO-00130,ENG001,Cummins Engine,2023-07-03,Emergency,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Priya,12,245941,Medium,Deferred,Job closed as per standard checklist
WO-00131,PU001,Centrifugal Pump,2024-10-01,Corrective,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Suresh,32,477934,Medium,In Progress,Job closed as per standard checklist
WO-00132,RK001,Rotary Kiln,2023-01-02,Predictive,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Ravi,39,158328,Medium,In Progress,Job closed as per standard checklist
WO-00133,RK001,Rotary Kiln,2024-04-15,Predictive,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Suresh,21,497773,Medium,Completed,Job closed as per standard checklist
WO-00134,BM001,Ball Mill,2023-03-29,Emergency,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Rahul,46,352897,Low,Deferred,Job closed as per standard checklist
WO-00135,BC001,Belt Conveyor,2024-11-29,Preventive,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Mahesh,18,151877,Low,Deferred,Job closed as per standard checklist
WO-00136,VRM001,Vertical Roller Mill,2023-10-26,Routine,Hydraulic Pressure Drop,Hydraulic Leak,Repair Hydraulic System & Replace Hose,Hydraulic Hose 1/2 inch,Rahul,44,262064,High,Completed,Job closed as per standard checklist
WO-00137,BE001,Bucket Elevator,2023-10-28,Routine,Belt Slippage,Tension Loss,Adjust Take-up Weight,—,Mahesh,43,412164,Low,Deferred,Job closed as per standard checklist
WO-00138,PU001,Centrifugal Pump,2023-11-19,Corrective,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Ravi,22,219426,Critical,In Progress,Job closed as per standard checklist
WO-00139,ENG001,Cummins Engine,2024-08-04,Emergency,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Mahesh,13,42204,Medium,In Progress,Job closed as per standard checklist
WO-00140,VRM001,Vertical Roller Mill,2024-12-18,Emergency,Gearbox Noise,Gear Wear,Inspect & Replace Gear Oil,Gear Oil ISO VG 320,Anil,43,85043,Medium,In Progress,Job closed as per standard checklist
WO-00141,BC001,Belt Conveyor,2024-06-27,Preventive,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Priya,22,154618,Critical,In Progress,Job closed as per standard checklist
WO-00142,JC001,Jaw Crusher,2024-03-29,Predictive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Priya,38,133257,Medium,Deferred,Job closed as per standard checklist
WO-00143,ENG001,Cummins Engine,2024-08-14,Emergency,Battery Failure,Low Voltage,Replace Battery Bank,Battery 12V 200Ah,Mahesh,28,19066,Low,Deferred,Job closed as per standard checklist
WO-00144,RK001,Rotary Kiln,2023-04-07,Routine,Drive System Failure,Gear Wear,Inspect Drive & Replace Pinion,Kiln Pinion Gear,Ajay,27,153964,Critical,In Progress,Awaiting spare parts
WO-00145,BE001,Bucket Elevator,2024-11-03,Emergency,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Anil,19,310157,Critical,Completed,Job closed as per standard checklist
WO-00146,JC001,Jaw Crusher,2023-09-18,Routine,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Rahul,6,386802,Medium,In Progress,Job closed as per standard checklist
WO-00147,BC001,Belt Conveyor,2024-04-18,Corrective,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Suresh,36,223929,High,Pending,Job closed as per standard checklist
WO-00148,RK001,Rotary Kiln,2024-06-19,Predictive,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Mahesh,17,479674,High,Pending,Job closed as per standard checklist
WO-00149,BM001,Ball Mill,2023-06-10,Emergency,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Ajay,37,355324,Medium,In Progress,Job closed as per standard checklist
WO-00150,BC001,Belt Conveyor,2024-03-15,Corrective,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Anil,36,47116,Medium,Completed,Job closed as per standard checklist
WO-00151,JC001,Jaw Crusher,2024-10-31,Predictive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Mahesh,25,268253,Low,Pending,Job closed as per standard checklist
WO-00152,JC001,Jaw Crusher,2024-09-08,Corrective,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Kiran,17,249119,Critical,In Progress,Job closed as per standard checklist
WO-00153,BM001,Ball Mill,2024-08-14,Emergency,Bearing Failure,Poor Lubrication,Replace Bearing & Flush Lubrication System,Spherical Roller Bearing 23264,Ajay,25,16169,Critical,In Progress,Job closed as per standard checklist
WO-00154,BE001,Bucket Elevator,2023-03-11,Emergency,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Rahul,40,120703,Critical,Pending,Awaiting spare parts
WO-00155,ENG001,Cummins Engine,2024-11-29,Corrective,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Rahul,7,195912,Critical,Pending,Job closed as per standard checklist
WO-00156,BF001,Bag Filter,2023-01-24,Routine,Fan Failure,Bearing Fault,Replace Fan Bearings,SKF 22220 Bearing,Ajay,40,90685,High,Completed,Awaiting spare parts
WO-00157,BC001,Belt Conveyor,2023-03-10,Corrective,Idler Jam,Bearing Failure,Replace Idler Roller,Carrying Idler,Anil,43,449886,Low,Pending,Awaiting spare parts
WO-00158,BC001,Belt Conveyor,2024-08-04,Predictive,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Anil,6,359306,Critical,Pending,Awaiting spare parts
WO-00159,ENG001,Cummins Engine,2024-12-28,Predictive,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Kiran,34,142488,Critical,In Progress,Job closed as per standard checklist
WO-00160,JC001,Jaw Crusher,2023-10-05,Preventive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Rahul,26,325364,High,Pending,Job closed as per standard checklist
WO-00161,AC001,Air Compressor,2023-07-09,Corrective,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Ajay,38,370611,Critical,Completed,Job closed as per standard checklist
WO-00162,BF001,Bag Filter,2023-03-25,Corrective,Rotary Valve Jam,Material Build-up,Clean & Service Rotary Valve,—,Mahesh,2,249196,High,Completed,Job closed as per standard checklist
WO-00163,AC001,Air Compressor,2024-09-15,Routine,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Rahul,36,80585,Critical,Deferred,Job closed as per standard checklist
WO-00164,VRM001,Vertical Roller Mill,2023-05-26,Emergency,Hydraulic Pressure Drop,Hydraulic Leak,Repair Hydraulic System & Replace Hose,Hydraulic Hose 1/2 inch,Suresh,30,440548,Low,In Progress,Job closed as per standard checklist
WO-00165,BE001,Bucket Elevator,2024-04-01,Corrective,Belt Slippage,Tension Loss,Adjust Take-up Weight,—,Priya,39,196334,High,Pending,Job closed as per standard checklist
WO-00166,BC001,Belt Conveyor,2023-06-19,Emergency,Idler Jam,Bearing Failure,Replace Idler Roller,Carrying Idler,Anil,18,231066,Medium,Deferred,Job closed as per standard checklist
WO-00167,BF001,Bag Filter,2024-12-04,Predictive,Solenoid Valve Fault,Coil Burnout,Replace Solenoid Valve,Solenoid Valve 1 inch,Ravi,44,340547,Critical,Deferred,Job closed as per standard checklist
WO-00168,JC001,Jaw Crusher,2023-02-04,Emergency,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Kiran,40,70094,Critical,Completed,Job closed as per standard checklist
WO-00169,BE001,Bucket Elevator,2023-05-26,Preventive,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Ravi,19,473606,Critical,Pending,Job closed as per standard checklist
WO-00170,AC001,Air Compressor,2023-04-10,Predictive,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Priya,25,389877,High,Deferred,Job closed as per standard checklist
WO-00171,JC001,Jaw Crusher,2023-03-29,Predictive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Suresh,5,98448,Medium,Pending,Job closed as per standard checklist
WO-00172,RK001,Rotary Kiln,2024-05-02,Corrective,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Ajay,48,72309,High,Pending,Awaiting spare parts
WO-00173,BF001,Bag Filter,2023-12-17,Corrective,Rotary Valve Jam,Material Build-up,Clean & Service Rotary Valve,—,Mahesh,9,156384,Critical,Deferred,Job closed as per standard checklist
WO-00174,JC001,Jaw Crusher,2024-11-24,Preventive,Motor Failure,Electrical Fault,Rewind Motor,Motor 75 kW,Ravi,22,390155,High,In Progress,Job closed as per standard checklist
WO-00175,VRM001,Vertical Roller Mill,2024-05-03,Routine,Table Liner Wear,Abrasion,Replace Table Liner Segment,Liner Segment,Suresh,34,444879,Critical,Completed,Awaiting spare parts
WO-00176,BM001,Ball Mill,2023-07-03,Corrective,Grinding Media Wear,Excessive Operation,Replace Grinding Media (3.5 Tons),High Chrome Grinding Balls,Ajay,48,205649,Critical,Pending,Job closed as per standard checklist
WO-00177,BF001,Bag Filter,2023-11-23,Emergency,Rotary Valve Jam,Material Build-up,Clean & Service Rotary Valve,—,Anil,48,85384,Critical,In Progress,Awaiting spare parts
WO-00178,BC001,Belt Conveyor,2024-08-09,Emergency,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Priya,30,342778,Medium,In Progress,Awaiting spare parts
WO-00179,AC001,Air Compressor,2023-08-29,Preventive,Pressure Loss,Valve Leakage,Replace Intake Valve,Intake Valve Kit,Priya,34,39131,Critical,Pending,Job closed as per standard checklist
WO-00180,BM001,Ball Mill,2023-12-05,Routine,Bearing Failure,Poor Lubrication,Replace Bearing & Flush Lubrication System,Spherical Roller Bearing 23264,Suresh,22,331541,Low,Pending,Job closed as per standard checklist
WO-00181,ENG001,Cummins Engine,2024-09-18,Emergency,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Anil,4,288710,Medium,Completed,Job closed as per standard checklist
WO-00182,PU001,Centrifugal Pump,2024-05-30,Routine,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Ajay,34,434923,Critical,In Progress,Job closed as per standard checklist
WO-00183,RK001,Rotary Kiln,2024-02-24,Predictive,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Ravi,21,59996,Critical,Completed,Job closed as per standard checklist
WO-00184,RK001,Rotary Kiln,2023-01-24,Corrective,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Suresh,21,278514,Critical,Deferred,Job closed as per standard checklist
WO-00185,VRM001,Vertical Roller Mill,2023-05-24,Preventive,Hydraulic Pressure Drop,Hydraulic Leak,Repair Hydraulic System & Replace Hose,Hydraulic Hose 1/2 inch,Anil,41,351486,Critical,Pending,Job closed as per standard checklist
WO-00186,AC001,Air Compressor,2024-11-15,Emergency,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Rahul,19,339708,Low,Deferred,Job closed as per standard checklist
WO-00187,PU001,Centrifugal Pump,2023-08-16,Emergency,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Rahul,11,113245,Low,Pending,Job closed as per standard checklist
WO-00188,BM001,Ball Mill,2023-08-12,Predictive,Gearbox Oil Leak,Worn Seal,Replace Gearbox Seal & Top-up Oil,Oil Seal 200x240x15,Rahul,17,349251,Critical,In Progress,Awaiting spare parts
WO-00189,BC001,Belt Conveyor,2024-06-06,Routine,Gearbox Leak,Seal Failure,Replace Gearbox Seal,Gearbox Oil Seal,Anil,43,292950,Medium,Completed,Job closed as per standard checklist
WO-00190,BM001,Ball Mill,2023-11-23,Predictive,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Anil,6,269599,Critical,Pending,Awaiting spare parts
WO-00191,AC001,Air Compressor,2024-09-26,Emergency,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Rahul,20,412497,Low,Completed,Job closed as per standard checklist
WO-00192,ENG001,Cummins Engine,2024-03-11,Emergency,Alternator Fault,Diode Failure,Replace Alternator Diode,Diode Assembly,Rahul,16,428479,Medium,Deferred,Awaiting spare parts
WO-00193,BE001,Bucket Elevator,2024-09-29,Predictive,Bucket Damage,Overloading,Replace Buckets (Set of 6),Polymer Bucket 8L,Ajay,16,126617,Critical,In Progress,Awaiting spare parts
WO-00194,ENG001,Cummins Engine,2024-06-06,Preventive,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Rahul,21,24561,Medium,In Progress,Awaiting spare parts
WO-00195,BE001,Bucket Elevator,2023-07-21,Routine,Motor Overheating,Cooling Issue,Service Motor & Clean Vent,—,Anil,21,231637,High,Pending,Job closed as per standard checklist
WO-00196,BE001,Bucket Elevator,2024-11-27,Routine,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Kiran,10,292656,High,Completed,Job closed as per standard checklist
WO-00197,PU001,Centrifugal Pump,2024-02-16,Predictive,Low Flow Rate,Impeller Damage,Replace Impeller,Impeller 250mm,Mahesh,23,403142,Low,Deferred,Job closed as per standard checklist
WO-00198,ENG001,Cummins Engine,2024-10-01,Routine,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Mahesh,39,162357,Low,In Progress,Job closed as per standard checklist
WO-00199,AC001,Air Compressor,2023-12-12,Predictive,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Anil,42,301470,Medium,In Progress,Job closed as per standard checklist
WO-00200,BF001,Bag Filter,2023-08-01,Predictive,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Mahesh,34,417212,High,Pending,Job closed as per standard checklist
WO-00201,ENG001,Cummins Engine,2023-09-27,Corrective,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Mahesh,4,330747,High,Completed,Job closed as per standard checklist
WO-00202,BF001,Bag Filter,2024-07-27,Corrective,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Ajay,30,374493,Critical,Completed,Job closed as per standard checklist
WO-00203,VRM001,Vertical Roller Mill,2024-06-14,Predictive,Roller Wear,High Material Load,Replace Roller Tyre,Roller Tyre Assembly,Suresh,27,74015,Critical,Completed,Job closed as per standard checklist
WO-00204,AC001,Air Compressor,2023-02-01,Preventive,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Suresh,44,370403,Medium,Deferred,Job closed as per standard checklist
WO-00205,AC001,Air Compressor,2023-05-25,Routine,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Mahesh,44,134937,Low,Pending,Awaiting spare parts
WO-00206,RK001,Rotary Kiln,2023-11-16,Predictive,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Priya,31,228566,High,Deferred,Job closed as per standard checklist
WO-00207,ENG001,Cummins Engine,2023-08-21,Preventive,Alternator Fault,Diode Failure,Replace Alternator Diode,Diode Assembly,Ajay,8,384038,High,Completed,Job closed as per standard checklist
WO-00208,BC001,Belt Conveyor,2023-11-30,Emergency,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Rahul,32,122354,Low,Pending,Job closed as per standard checklist
WO-00209,ENG001,Cummins Engine,2023-07-02,Corrective,Alternator Fault,Diode Failure,Replace Alternator Diode,Diode Assembly,Kiran,30,66999,Low,Pending,Awaiting spare parts
WO-00210,AC001,Air Compressor,2023-04-09,Emergency,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Priya,15,29025,Critical,In Progress,Job closed as per standard checklist
WO-00211,RK001,Rotary Kiln,2023-11-01,Predictive,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Rahul,28,149571,Critical,In Progress,Job closed as per standard checklist
WO-00212,AC001,Air Compressor,2024-11-17,Corrective,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Priya,39,411286,Critical,Deferred,Job closed as per standard checklist
WO-00213,JC001,Jaw Crusher,2024-01-22,Emergency,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Suresh,47,435020,Low,Deferred,Job closed as per standard checklist
WO-00214,JC001,Jaw Crusher,2023-03-13,Corrective,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Suresh,3,497523,Medium,Completed,Job closed as per standard checklist
WO-00215,BM001,Ball Mill,2024-11-23,Predictive,Grinding Media Wear,Excessive Operation,Replace Grinding Media (3.5 Tons),High Chrome Grinding Balls,Ravi,8,389582,Low,In Progress,Job closed as per standard checklist
WO-00216,BC001,Belt Conveyor,2023-05-03,Corrective,Gearbox Leak,Seal Failure,Replace Gearbox Seal,Gearbox Oil Seal,Ajay,18,330688,Critical,Pending,Job closed as per standard checklist
WO-00217,BE001,Bucket Elevator,2024-04-28,Predictive,Motor Overheating,Cooling Issue,Service Motor & Clean Vent,—,Ajay,36,443986,Low,Completed,Job closed as per standard checklist
WO-00218,BM001,Ball Mill,2024-11-15,Routine,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Ajay,5,64670,Low,Completed,Job closed as per standard checklist
WO-00219,BC001,Belt Conveyor,2024-04-03,Predictive,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Anil,3,106537,Medium,Pending,Job closed as per standard checklist
WO-00220,BC001,Belt Conveyor,2023-12-07,Predictive,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Mahesh,3,428399,Critical,Pending,Job closed as per standard checklist
WO-00221,RK001,Rotary Kiln,2024-12-24,Corrective,Tyre Migration,Shell Deformation,Adjust Tyre Lubrication,Graphite Lubricant,Suresh,32,346954,Medium,Deferred,Job closed as per standard checklist
WO-00222,BM001,Ball Mill,2023-07-10,Predictive,Grinding Media Wear,Excessive Operation,Replace Grinding Media (3.5 Tons),High Chrome Grinding Balls,Ajay,31,146300,Low,Pending,Job closed as per standard checklist
WO-00223,BF001,Bag Filter,2023-01-29,Preventive,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Anil,3,436546,Low,Completed,Awaiting spare parts
WO-00224,JC001,Jaw Crusher,2024-07-06,Emergency,Flywheel Misalignment,Belt Wear,Replace V-Belts,V-Belt C-180,Ravi,2,243337,Medium,In Progress,Job closed as per standard checklist
WO-00225,JC001,Jaw Crusher,2024-09-26,Corrective,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Rahul,14,346387,Low,Completed,Job closed as per standard checklist
WO-00226,BF001,Bag Filter,2023-08-07,Corrective,Solenoid Valve Fault,Coil Burnout,Replace Solenoid Valve,Solenoid Valve 1 inch,Priya,17,67171,Low,Pending,Job closed as per standard checklist
WO-00227,PU001,Centrifugal Pump,2023-07-27,Corrective,Low Flow Rate,Impeller Damage,Replace Impeller,Impeller 250mm,Anil,23,309131,Critical,In Progress,Job closed as per standard checklist
WO-00228,AC001,Air Compressor,2024-05-16,Emergency,Unloader Fault,Pressure Switch Failure,Replace Pressure Switch,Pressure Switch,Suresh,22,432505,Critical,Deferred,Job closed as per standard checklist
WO-00229,RK001,Rotary Kiln,2023-03-29,Routine,Tyre Migration,Shell Deformation,Adjust Tyre Lubrication,Graphite Lubricant,Anil,34,498885,Critical,Deferred,Job closed as per standard checklist
WO-00230,AC001,Air Compressor,2024-04-24,Routine,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Rahul,15,431506,High,Pending,Awaiting spare parts
WO-00231,BM001,Ball Mill,2024-06-15,Routine,Motor Overheating,Cooling Fan Failure,Clean Cooling System & Replace Fan,Cooling Fan Assembly,Suresh,41,54589,Critical,Deferred,Awaiting spare parts
WO-00232,BF001,Bag Filter,2024-09-13,Preventive,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Kiran,13,126881,Critical,Pending,Awaiting spare parts
WO-00233,BM001,Ball Mill,2023-07-21,Predictive,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Kiran,38,192282,High,Deferred,Job closed as per standard checklist
WO-00234,VRM001,Vertical Roller Mill,2024-08-27,Emergency,Hydraulic Pressure Drop,Hydraulic Leak,Repair Hydraulic System & Replace Hose,Hydraulic Hose 1/2 inch,Priya,32,37175,High,Completed,Job closed as per standard checklist
WO-00235,PU001,Centrifugal Pump,2023-08-21,Routine,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Anil,11,427909,High,In Progress,Job closed as per standard checklist
WO-00236,AC001,Air Compressor,2024-02-16,Preventive,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Kiran,23,340487,Critical,In Progress,Awaiting spare parts
WO-00237,BE001,Bucket Elevator,2024-09-04,Preventive,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Anil,42,270468,Medium,Completed,Job closed as per standard checklist
WO-00238,JC001,Jaw Crusher,2024-03-24,Predictive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Anil,44,472384,Low,Pending,Job closed as per standard checklist
WO-00239,ENG001,Cummins Engine,2023-09-24,Predictive,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Anil,9,343885,High,In Progress,Job closed as per standard checklist
WO-00240,ENG001,Cummins Engine,2023-12-13,Emergency,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Ajay,28,480962,Low,In Progress,Job closed as per standard checklist
WO-00241,RK001,Rotary Kiln,2024-03-14,Corrective,Support Roller Wear,Uneven Load,Regrind Support Roller,—,Mahesh,42,234281,Low,In Progress,Job closed as per standard checklist
WO-00242,BF001,Bag Filter,2024-01-04,Routine,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Ajay,15,262591,High,Deferred,Job closed as per standard checklist
WO-00243,RK001,Rotary Kiln,2023-08-02,Corrective,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Ajay,3,396873,High,In Progress,Job closed as per standard checklist
WO-00244,BF001,Bag Filter,2023-07-17,Corrective,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Ravi,9,417550,Medium,Pending,Job closed as per standard checklist
WO-00245,VRM001,Vertical Roller Mill,2023-10-21,Corrective,Separator Failure,Belt Slack,Replace Separator Belt,Separator Drive Belt,Ravi,46,65421,Medium,Pending,Job closed as per standard checklist
WO-00246,ENG001,Cummins Engine,2024-10-14,Predictive,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Ajay,13,128715,Low,Pending,Job closed as per standard checklist
WO-00247,BE001,Bucket Elevator,2023-12-19,Predictive,Belt Slippage,Tension Loss,Adjust Take-up Weight,—,Priya,31,45801,Critical,Pending,Job closed as per standard checklist
WO-00248,JC001,Jaw Crusher,2024-11-16,Emergency,Motor Failure,Electrical Fault,Rewind Motor,Motor 75 kW,Kiran,44,299984,Critical,Pending,Job closed as per standard checklist
WO-00249,BC001,Belt Conveyor,2023-04-02,Emergency,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Ajay,19,34971,Medium,Deferred,Job closed as per standard checklist
